model,auc,precision,accuracy,n,n_p,n_n,week,feat_type,course
tree,0.922727272727273,0.824742268041237,0.910526315789474,190,80,110,8,only,clinicalskills
ensemble,0.922727272727273,0.824742268041237,0.910526315789474,190,80,110,8,only,clinicalskills
bn,0.5,,0.8406921241050122,1676,267,1409,0,sum,clinicalskills
tree,0.84716496147027,0.5863013698630141,0.878281622911695,1676,267,1409,0,sum,clinicalskills
ensemble,0.84716496147027,0.5863013698630141,0.878281622911695,1676,267,1409,0,sum,clinicalskills
bn,0.5874371517325311,0.355704697986577,0.8218594748048259,1409,208,1201,1,sum,clinicalskills
tree,0.504941795298789,0.22727272727272704,0.8438608942512421,1409,208,1201,1,sum,clinicalskills
ensemble,0.503142413373471,0.33333333333333304,0.8509581263307309,1409,208,1201,1,sum,clinicalskills
bn,0.541755171399627,0.5185185185185179,0.859561752988048,1004,142,862,2,sum,clinicalskills
tree,0.5,,0.8585657370517931,1004,142,862,2,sum,clinicalskills
ensemble,0.522368550047384,0.444444444444444,0.856573705179283,1004,142,862,2,sum,clinicalskills
bn,0.635343125773748,0.375,0.8248259860788859,862,121,741,3,sum,clinicalskills
tree,0.5,,0.8596287703016241,862,121,741,3,sum,clinicalskills
ensemble,0.5034574675723,0.5,0.8596287703016241,862,121,741,3,sum,clinicalskills
bn,0.53030303030303,0.37037037037037,0.836707152496626,741,114,627,4,sum,clinicalskills
tree,0.5,,0.8461538461538459,741,114,627,4,sum,clinicalskills
ensemble,0.504385964912281,1.0,0.847503373819163,741,114,627,4,sum,clinicalskills
bn,0.602473866478548,0.44047619047619,0.7862838915470491,627,124,503,5,sum,clinicalskills
tree,0.5,,0.8022328548644342,627,124,503,5,sum,clinicalskills
ensemble,0.5,,0.8022328548644342,627,124,503,5,sum,clinicalskills
bn,0.556481979558903,0.454545454545455,0.654075546719682,503,165,338,6,sum,clinicalskills
tree,0.5,,0.671968190854871,503,165,338,6,sum,clinicalskills
ensemble,0.511430876815492,0.3947368421052629,0.6560636182902579,503,165,338,6,sum,clinicalskills
bn,0.524679943100996,0.52,0.5680473372781071,338,148,190,7,sum,clinicalskills
tree,0.5,,0.562130177514793,338,148,190,7,sum,clinicalskills
ensemble,0.5,,0.562130177514793,338,148,190,7,sum,clinicalskills
bn,0.573295454545454,0.522388059701492,0.5947368421052629,190,80,110,8,sum,clinicalskills
tree,0.759090909090909,0.601503759398496,0.7210526315789471,190,80,110,8,sum,clinicalskills
